id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
133,46420,Heart of the Alien: Out of this World Parts I And II,Enter the award-winning sci fi universe of Out of This World. A cool blue world where the past and future coexist. Where electric torture chambers are manned by primitive humanoids. And the merciful turn merciless just to survive. Imagine an alien prison. Where every passage you enter is one you may never exit. Every creature lives to try and take your life. And the further you run the closer you get to the sadist they call The Warden.,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
583,71099,Jo Guest in the Milk Round,NULL,1994-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
627,59913,Gion Hana,NULL,1994-12-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
837,49009,Race Days,NULL,1994-12-01 00:00:00.000,NULL,NULL,NULL,NULL,43.0000,0
1141,119396,Magic of Endoria,NULL,1994-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1359,79885,The Lost Mind of Dr. Brain,NULL,1994-07-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1429,56124,Empire of Angels II,NULL,1994-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1540,50160,Dig Dogs: Streetbusters,NULL,1994-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1607,39881,Rapid Hero,NULL,1994-06-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1780,39546,Fighter's History Dynamite,"The quest to defeat the mysterious Baron of Battlers, the mysterious K, is on. In order to get to this grotesque gladiator, however, you need to fight your way through 11 matches with the most skilled, most deadly of all combatants in the world of physical contact. Use your powers of pulverization, psychic energy blasts, and ridiculous strength to become the explosive fighting god in FIGHTERS HISTORY DYNAMITE!",1994-01-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2004,42235,Pachinko Maruhi Hisshouhou,NULL,1994-11-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2177,75982,Mighty Morphin Power Rangers: The Movie,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2183,37981,Idea no Hi: Day of the Idea,NULL,1994-04-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2281,130484,Crayon Shin-chan 3: Ora no Gokigen Athletic,NULL,1994-03-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2531,14620,Club Football: The Manager,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2612,6024,Benefactor,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3371,60463,Derby Jockey: Kishou he no Michi,NULL,1994-03-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3414,38117,Zig Zag Cat: Ostrich Club mo Oosawagi da,NULL,1994-06-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3434,44417,Derby Jockey: Kishu-ou he no Michi,"Derby Jockey - Kishu Or heno Michi is an equestrian race simulation game released on Super NES. In this very complete game where management holds a large part, you will be able to acquire different types of horses. You will also have to train them, before embarking on the quest for the first on the biggest racetracks around the world.",1994-03-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3671,39345,Zed Blade,NULL,1994-01-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3752,123599,Walt Disney's The Jungle Book,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3810,38575,Light Bringer,NULL,1994-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4765,37875,Pro Mahjong Kiwame II,NULL,1994-07-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5024,38162,Pokonyan! Henpokorin Adventure,NULL,1994-12-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5072,162835,Donkey Kong Country Competition Cartridge,NULL,1994-11-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5154,5412,Popful Mail: Magical Fantasy Adventure,NULL,1994-06-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5213,11125,Nosferatu,"The game follows the story of a young man named Kyle who has his girlfriend Erin sequestered with the vampire Nosferatu; he has the objective of obtaining their blood. Kyle then goes up to the castle where Nosferatu lurks with intent to rescue Erin, but getting there, he discovers that the huge place is full of traps and violent creatures. The game starts with Kyle being trapped in the dungeon of the castle, the player must escape from there and walk through the castle until they reach the tower where Erin and Nosferatu are.",1994-10-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5665,38124,The Great Battle Gaiden 2: Matsuri da Wasshoi,NULL,1994-02-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6013,41102,Slap Shot,NULL,1994-06-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6056,45890,Peanuts: Yearn 2 Learn,NULL,1994-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6286,46396,After Armageddon Gaiden: Majuu Toushouden Eclipse,NULL,1994-11-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6911,191464,Megami Paradise,NULL,1994-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6950,12629,Zeewolf,NULL,1994-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
7103,15542,Guardian,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7365,119059,Apogee Games: Companion CD-ROM,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7560,46827,Pang Pang,NULL,1994-06-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7684,39336,Aggressors of Dark Kombat,NULL,1994-01-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7821,5398,Lethal Enforcers II: Gun Fighters,NULL,1994-03-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7970,7986,Quest for the Shaven Yak Starring Ren Hoëk and Stimpy,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8013,45893,Golf My Way,NULL,1994-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8189,38848,ESPN Let's Go Skiing,NULL,1994-03-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8455,112893,EARDIS: REVOLUTION FORCE,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8462,59518,Game no Kanzume Vol. 2,NULL,1994-03-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8746,50116,Microsoft Space Simulator,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8774,71410,The Big One,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8806,57831,The Way Things Work,NULL,1994-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8813,131737,Gamers' Delight,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9328,11165,King James Bible,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9713,11980,Bubba 'n' Stix,NULL,1994-02-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
9734,1127,Castlevania: Bloodlines,"In 1897, the long war between humanity and Dracula came to an end, as Dracula was laid to eternal rest by Quincey Morris, a distant descendant of the Belmont family. Peace was restored to Europe, until the outbreak of the First World War, which transformed the continent into a dark world filled with massacre and violence. At the beginning of the war, in June 1914 at Sarajevo, the Crown Prince of Austria was assassinated. It was said that a strange beautiful woman was involved, within the shadows. It was Elizabeth Bartley. In order to revive her uncle, Count Dracula, she conducted an unholy ceremony which caused the war, giving her possession of human souls from Europe.  The game itself takes place in 1917. The characters are John Morris, a distant descendant of the famed Belmont and Morris families who obeyed his fate to fight vampires day and night, and Eric Lecarde, whose girlfriend was transformed into a vampire when Elizabeth was revived. After Drolta Tzuentes resurrected Elizabeth Bartley, they traveled across Europe to conduct the resurrection of Count Dracula. John Morris and Eric Lecarde followed them. Even though the resurrection of Dracula was a success, the vampire hunters defeated him, and his allies.",1994-03-17 00:00:00.000,14,NULL,NULL,NULL,74.5109,68
9749,49086,Sports Illustrated: Golf Classic,NULL,1994-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10038,40446,Taito Power Goal,NULL,1994-06-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10044,45626,Sangokushi 3,NULL,1994-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10060,85822,Furopon World,NULL,1994-08-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10103,4419,Math Blaster: Episode One - In Search of Spot,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10143,123055,Derby Stallion Expert Kit,NULL,1994-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10175,40344,J-League Soccer V-Shoot,NULL,1994-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10221,128877,Chao Ji Da Fu Weng,NULL,1994-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10301,46733,Return to Ringworld,NULL,1994-05-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
